film,sort_type,review,sentiment
Blue Ruin,highest,"A lot of movies move the plot along, or slow the plot down, by making characters do the dumbest or most irrelevant things possible so it just feels like random parts are moving around for no discernible reason. This guy's movies are so tight and gripping because there is none of that. No goofing around, no needless monologues or dialogue, no meandering just to drag viewers through something the director insists on including. All of the events in his movies are causal and fast, which can make for a very scary movie.",negative
Blue Ruin,highest,"After Rebel Ridge, I just had to go back. Spend some time in the dark with Macon. He's so fuckin' good. Like a schlubby terminator. Moments of odd humor pepper what would otherwise me a mercilessly black pit of human suffering. Absolutely delicious. I love this movie.",positive
Blue Ruin,highest,"Now "" this is real Revenge Story ""Most revenge films sell the illusion of control—violence as a means of power, of setting things right. It have no such catharsis , satisfactory monologue . Blue Ruin dismantles that illusion piece by piece, leaving only the hollow, self-destructive truth behind. There’s no satisfaction here, no justice, just a man walking into a storm he doesn’t understand and can’t survive.Dwight, played with quiet devastation by Macon Blair, is not a hero,…",positive
Cold in July,lowest,"Cold in July wants to be like 7 different movies at once, and as a result it fails at being even one. It's been a long time since I've seen a movie as completely and utterly confused as this one.",negative
Cold in July,lowest,"Started out good, then twisted into something that made no sense and left me with that WTF feeling.Loved Don Johnson",negative
Cold in July,lowest,I guess it’s a cishet guy thing.,neutral
Cold in July,lowest,im just really done with the exploitation of women's pain so that random dudes can kick ass and look good,positive
Cold in July,lowest,"On paper it contains all the twist and turns you might expect from a good thriller, but in reality it's lacking in terms of suspense or excitement. The movie also lacks a real clear theme making it feel quite hollow when all is said and done.",positive
Cold in July,lowest,"Cold in July AKA How to destroy a great thriller by turning it into a stupid ass story! Seriously, a snuff movie ring?! This stupid urban legend again?!What of the whole first act and the intricate story about the unindentified body in the coffin, the Mafia and the crooked cops???!!! They magically disappear in the second act! Voilà!Then watchout for the rest of the show in which I'm going to pull a cheap Dollarstore plastic rabbit out of my paper hat! What? You've seen that before?! Well hold on because this is where we're going!This is so stupid. Fuck you!",negative
Cold in July,lowest,"This is truthfully one of the worst movies that I’ve ever seen. The cinematography, score, pacing, direction, script, and acting are all extremely poor. This film feels like it was shot in a week, with no opportunity for reshoots. Many loose ends, character motivations that are never explained, everything sucked.Imagine a feature length episode of season 7 Dexter. Only worse. I cannot believe something like this made it past the cutting floor.",negative
Cold in July,lowest,"story had great potential, had its twists and turns. but could have used better direction and writing.",positive
Cold in July,lowest,"COLD IN JULY (Jim Mickle, USA, 2014, 2)Cold in July, for this Texas-set film, would be more believable than anything that happens in it. Yes, plausibility isn’t everything, but when you start out with as much psychological acuity and apparent seriousness as Jim Mickle’s Cold in July, you can’t turn into Death Wish; I call this “Fatal Attraction Disorder”. In the opening scene, Texas family man Richard Dane (Michael C. Hall) shoots a burglar in his home. It turns…",negative
Cold in July,lowest,“I got cows in that pasture.” - Jim Bob.,neutral
Cold in July,lowest,Man shoots an intruder and joins a gay polycule. He and his partners then go on a trip to destroy sex predators.,positive
Cold in July,highest,Underrated gem. One of my favorites.,neutral
Cold in July,highest,Went into this for Michael C. Hall and didn’t have much expectation but holy shit. Texas noir 80 coded thrillers >>>> There were so many unexpected turns. The whole cast was amazing. I loveeeddd this.,positive
Cold in July,highest,"Don Johnson is incredible in this movie. Love to watch the man act. Sam Shepard is a convincing and likable everyman.Michael C. Hall delivers a performance that is chilling at times, and even heartbreaking.The movie has some twists and turns that will genuinely keep you interested. Let your guard down, heat up some popcorn, and relax.",positive
Cold in July,highest,John Carptenter’s Blood 8mm Simple.,neutral
Cold in July,highest,"Just love Michael C. Hall so much, this is so amazing, everybody plays their role perfect. I absolutely loved the turn this movie took, it’s just executed so perfectly. Perfect reward you get in the end, yet still a little depressing.",positive
Cold in July,highest,"You got the picture, framer!A deep-fried distillation of '80s genre fare - horror, buddy comedy, sleaze, action, neo-noir - that unspools freely as a tautly unpredictable, tone-shifting, shit-kicking facemelter.Cold in Julyis also a film that crucially sidesteps the hollow nostalgic fawning over the neon-synth scuzz of that particular decade (which I'm sure we can agree the 2010s were a little too obsessed with) with a poignant central trajectory concerning the coming-of-age-of-a-forty-year-old Texan who is at odds with…",negative
Cold in July,highest,"Outstanding on every level. Taught, brilliant script. No spare words. Outstanding performances. Watch this one right now. Best film I've seen in a long time.",positive
Cold in July,highest,Can’t believe there was a time where I thought this was anything less than five stars. Dudes friggin’ rock.,negative
Cold in July,highest,"What if A Walk Amongst Tombstones and Dragged Against Concrete had a baby? It’d be Cold In July.Having the brains and blood splatter the painting during the opening scene was such a cool idea. Dane, Ben, and Jim Bob are some of the best written characters I’ve ever seen on screen. There was so much packed into their characters as soon as they’re on screen for a few minutes it feels like you know everything about them. Jim Bob being the best example (was very bummed I didn’t think he make it). This was a certified banger I look forward to watching again soon.",positive
Cold in July,highest,"Third time watch and it’s masterpiece. Please watch it, you won’t regret it",neutral
Cold in July,highest,"i think the problem with people who want border security is that they focus too much on fearmongering illegal immigrants’ personalities. there’s multiple sides to that argument like wanting to have less demand for products or jobs therefore having more supply, but the side i want to focus on is that not only are people not accounted for, allowing them to be exploited by businesses, but children are also not accounted for, allowing them to be exploited by something maybe more…",positive
Cold in July,highest,"I love it when a “you messed with the wrong guy” type narrative isn’t “turns out this guy was special forces, he killed Satan in desert storm,” and instead is more just “a hapless Joe Schmoe who finds in himself the principle to not let an evil act go unanswered.”",negative
Cold in July,highest,"best hotline miami esque film ive watched thus far, synth score don johnson and a neo-noir genre blend that's all you need to know.",positive
Cold in July,highest,Cold in July is proof that great ideas can outshine a small budget.,negative
A Hijacking,lowest,Remember when Tarantino kinda skipped jewelry heist in Reservoir Dogs? And like how cool that was for indie filmmaking? Like We dont need to show the most expensive scene!Yeah... dont do that unless youre Taratino.,positive
A Hijacking,lowest,Beth Greenerealness sa isang scene 😂,neutral
A Hijacking,lowest,The beginning act was very sluggish and a chore to get through but the rest of the movie was fine afterwards. My biggest strife with the movie was that it was intended to be very character driven but there’s barely any room for empathy and the characters were very 2 dimensional and didn’t really have much personality,positive
A Hijacking,lowest,"Really disappointing hijack drama about a group of Danish oil tanker workers taken prisoner by Somali pirates. The film is subtle and deserves credit for focusing on the realistic negotiating complexity of a hijacking situation... But ultimately, nothing really happens. It doesn't have very much depth, it's just a series of scenes between the Somali captors and the hijacked crew intercut with dour conference room scenes where tension is delivered by waiting for faxes to arrive (the oil tanker company…",negative
A Hijacking,lowest,I think paint takes longer to dry than running time of this movie. I think I would still rather watch the latter.,negative
A Hijacking,lowest,"Tracking a fictional hijacking situation at sea, Tobias Lindholm's film values process over progress, where the ""heroes"" and ""villains"" play a politicking game of chess in which each seemingly trivial move is an irretractable act of positioning. If you're fascinated by a moody, slow-moving game of ""guess the number"" then A Hijacking will have you hooked but if you're looking for a bit of excitement and flourish in your thriller, you may quickly find your senses dulled by the vacillating…",negative
A Hijacking,lowest,"This was the movie equivalent of reading a newspaper article. It had all the facts and told you the story, but didn't flesh anything out or paint much of a visual.",neutral
A Hijacking,lowest,"Not as compelling as Captain Phillips, but I think more true to the story.",positive
A Hijacking,lowest,not necessarily a bad movie but a movie that i absolutely did not enjoy.well made and interesting plot and defo worth reading about the director and the making of the filmthis is the kind of movie i have to read the wiki plot for beforehand so i don’t give myself an anxiety attack,positive
A Hijacking,lowest,"I'm not sure you could have done less, or made a less compelling film about a hijacking. It's not gripping, it's not compelling, it's just dull and often very frustrating. I wasn't shocked to find out that Tobias Lindholm wrote (and directed) this film, having pennedThe Huntas well.There is rarely any emotion, little acting required and with almost four months at sea and very little food, the crew never seemed to lose weight at all. There were too many little annoying things like that that made this film very forgettable for me. And what an anti-climactic ending.",negative
A Hijacking,lowest,"Idk if it’s studio meddling or just incompetency, but the editing here is awful. It feels like there is soooo much material missing. And it’s truly sad because the scenes, in itself, are all solid.Pilou Asbæk and Søren Malling are doing very well in their scenes. The camerawork and directing is okay. Nothing that stands out as good but nothing that stands out as bad either. The phone call between the cook and his wife was my fav part…",negative
A Hijacking,lowest,"An interesting idea, I guess, and probably a somewhat accurate representation of what these situations are really like—but in practice, this felt unnecessarily punishing and repetitive. Not that it's meant to be a feel-good film, but its relentless dourness felt undeserved.The portion taking place at the company offices was the biggest offender, with the CEO's stubborn bargaining scenes repeating themselves over and over, but the events on the boat weren't particularly eventful either. Realistic maybe, but for a fiction…",positive
A Hijacking,highest,Gonna do a bit more revision for my maritime security exam now methinks,positive
A Hijacking,highest,"Great film, this movie really shows on what the seamans cdo whenever they find themselves in a incident such as a hijacking by pirates. These film reminds me of the Captain Philips film.",positive
A Hijacking,highest,Anything less than 5 stars feels unjustified.Extremely well done. I've watched some amazing Scandinavian films of late.Wouldn't want to be Mikkel at the end! Hope that wasn't a true anecdote from a real hijacking.,positive
A Hijacking,highest,"A Danish ship is hijacked by Somalian pirates. A harrowing thriller shot with the intimacy of a documentary. The movie allows you to come up for air every now and again, but it’s a ruse. It doesn’t let up until its last dying frame. And the performances of all, are of the type that succeed in letting you forget they’re acting. This was exhausting.",negative
A Hijacking,highest,"People from Scandinavian countries make cool movies. ie: Sweden's Let The Right One In. This atypical sea-bound hostage thriller is from Denmark. It's Captain Phillips but with more boardrooms and less Tom Hanks. The film cuts back and forth between the events on a hijacked ship and the hostage negotiation process back on land. The two main guys, the ship's cook and the head corporate dude, are great. Sounds mad boring, but is instead scary and tense.",negative
A Hijacking,highest,A great representation on what and how the seamans will do and react whenever unexpected events such as a hijacking occurs. This film definitely reminds me of Captain Philips. Im glad that the ending was a good one,positive
A Hijacking,highest,A stunning tense piece of cinema.,positive
A Hijacking,highest,"This is a film about a cargo ship that is attacked by Somali pirates and the negotiations with the ship's company in Copenhagen. This film is heart wrenching and very suspenseful but what I think blew me away the most was how there is really no true antagonist. The filmmaker does such a great job at distributing empathy throughout the characters... As Renoir says in the French masterpiece, Rules of the Game (1939): ""The awful thing about life is this: Everybody has their reasons....""",negative
A Hijacking,highest,"Move over Captain Phillips, this is the pirate movie to watch",neutral
A Hijacking,highest,"Harrowing but gripping tale focusing on the negotiations for the release of a hijacked container ship. The tension just ratchets up, you feel like you are in the room scared of how the hijackers will react. You can also feel the desparation of the hostages and the isolation they feel when they hear that their bosses won't just pay the money. You can see them slowly degrade and dehumanise as time goes on. An excellent film, all the better for ignoring the action of the hijacking itself and delving into the psychological torture of those on the ship and those back home.",positive
A Hijacking,highest,"A suspenseful film about the hijacking of a cargo ship by Somali pirates. Unlike captain Phillips, this film focusses on the negotiation with the Danish CEO. Flipping between the boat and the office room where the negotiations are taking place, the film manages to be suspenseful in both locations with masterful acting. The drama which plays out feels very real, very bleak and very claustrophobic. Great cinema.",negative
A Hijacking,highest,"The road to Denmark - the hidden gems⬅️I was completely on board from the beginning. A tragic and stressful race against time, with beautiful landscapes",positive
A Hijacking,highest,Wow. This is the pirate movie to watch,positive
Loveless,lowest,I can’t believe that I wasted 2 hours of my life on this trash,negative
Loveless,lowest,"It was beautifully shot and the acting was excellent, but the story and pacing were just dreadful. The second half during the searching felt like it went on forever.",positive
Loveless,lowest,Hated every second of this tiring and pretentious film,negative
Loveless,lowest,"A fairly long while ago I read a brief collection of short stories by Shirley Jackson. I've been haunted by a couple of the stories it contained ever since, but the first one left a particularly indelible impression. It was The Missing Girl, wherein over just a handful of pages, Jackson describes the circumstances unfolding upon the discovery that a young teenage girl has disappeared from a campground, seemingly without trace. The succinct portrait Jackson paints of the mechanical way…",positive
Loveless,lowest,11:15am at Highland Park Renaissance,neutral
Loveless,lowest,Shoutout Jack Caccavari because we both had to watch this piece of trash for class,neutral
Loveless,lowest,Didn't watch this but my bloody valentine SUCK!!!!!!!!!!!!!!!!!!,negative
Loveless,highest,This is not a story about good and evil It is about parents who have never received love And therefore cannot give it to their child They repeat their mistakes over and over And do not learn from the tragedy The film does not provide a solution or comfort It deals with a harsh reality where love is absent,positive
Loveless,highest,"This is a third time I've watched it and every time I am reassured that Zvyagintsev is total genious. Amazing movie, it drags you in from the very beginning with perfect acting and cinematography.",positive
Loveless,highest,A suprise to no one. Russians make about as good parents as they do a functional Democracy,positive
Loveless,highest,"I am officially putting this as my second favorite film of all time. My rewatch hit, it hit hard. I’ve thought about this film ever since I watched it for the first time (years ago).",positive
Loveless,highest,Damn. Your kid running away must be a real bummer...,positive
Loveless,highest,"I believe I was shown part of this in a seminar in 3rd year or something. Anyway, I should have trusted my gut; this is the most depressing film of all time and I hate it!",negative
Loveless,highest,"10 years after The banishment, this one cuts even deeper. It goes right under your skin.Another cinematic tour-de-force by Zvyagintsev. A dark jewel. Better than The banishment, in my opinion (and others).'Loveless' revolves around a young couple who lose not only each other but also their son in their marital struggle. When their 12-year-old son disappears, the couple is confronted with their own shortcomings.""Up until now, Russian filmmaker Andrej Zvyagintsev has only made good to excellent films,…",positive
Loveless,highest,"The story of Loveless is very captivating even though it's a patient slow-burn with a lot of long-takes, dialogue and a big emphasis on atmosphere. From the opening shot to the final shot it's a depressing experience with lots of unexpected turns, and it's a film that keeps you guessing and wondering even after the credits roll. It's one that sits with you and is on your mind for a long time after watching it.Our two lead actors, Maryana…",positive
Loveless,highest,i'll never forget how heartbreaking this was,neutral
Victoria,lowest,"i stayed until an hour and 19 mins. i can't finish it. not with the messy camera work (altho i get it, it kinda like a vlog), but i still can't. not with vic's attitude. vic was bored so she joined a group of men on a night. nah. i just couldn't get into the storyline. i forced myself to finish it, but at least i passed the first hour. just not for me.",negative
Victoria,lowest,So boring no shade. She’s also an idiot boots,negative
Victoria,lowest,"""i can fix him,"" says woman who is worse",negative
Victoria,lowest,There is a reason they did this in one take: it’s too ducking terrible to shoot again. Please don’t waste 2 hours of your time.,negative
Victoria,lowest,"i hated this movie. idk if i can get into dramas if they are all going to be so long. additionally, it did not make me thrilled to fly to berlin today.",positive
Victoria,lowest,Worse than hitting your own mother…As if any sane person would be so naive to follow such pieces of shit that are drunken germans…The worst movie I’ve watched in this year so far,negative
Victoria,highest,Undeniably thrilling. Germany never feels like a normal place. Bad boys are too fun to ignore so I get it.,positive
Victoria,highest,Probably some of the best acting I’ve ever seen. All in one take too which is insane. Meandering a bit towards the end but I don’t freaking care this shit was incredible,positive
Victoria,highest,"This was one of the first movies I watched when I decided to try this hobby to find out what was out there. I was absolutely mind blown that I didn’t even gave a review. This is the one movie, that hooked me in this world and turned me into a cinephile. Probably the only one review that I didn’t do since I started this activity continuously, for almost a year now, and one of the most meaningful movies for me, that deeply touched me and made me fall in love with cinema. Thanks Victoria",positive
Victoria,highest,"what an ending, man!Good for her? idk but I'm glad she was able to get away",positive
Victoria,highest,"The best german movie, it is not an understatemant. Because of this movie I had the dream of renaming myself Victoria. I saw it 2015 and can still not fathom how well it held up, how it depicts Berlin as this pseudo depressing realtiy, we all live through. How there is not one cut, sort of like Hideo Kojima was pocessing the director Schipper. Fantastic, chefs kiss! It is not talked about much in this cultural climate but we should all see Victoria.",positive
Victoria,highest,"Every time I watch it I’m more blown away. This film has no contemporaries. Other one-takes either feel forced or have a scope too narrow to make the feat meaningful. Victoria, however, has an enormous scope that meets the moment at every turn.There’s no settling for mediocrity to achieve the goal. These actors give their all for the lengthy runtime and it ends up a true masterpiece that would be thoroughly enjoyable even if filmed traditionally.As we pass this films 10th birthday, I continue to hope it will finally get the mainstream recognition it deserves.",positive
Victoria,highest,All in 1 shot. Why I haven't seen this earlier¿?I'd like to think that Victoria went on with her life just fineNils Frahm is god 🙏,neutral
Victoria,highest,The power of friendship did not prevail,neutral
Victoria,highest,"Wow, that totally came out of left field. A really tense movie that just snowballs, the thing is beautiful and the soundtrack is excellent, but the acting is overwhelming. While the story is fiction, the people are as real as it gets.",positive
Timecrimes,lowest,Nah don’t fuck with this it all took me like allDamn day to watch this could not get on board w this plot 👎,negative
Timecrimes,lowest,"Didn't like how the movie treated the unnamed female character. Weirdly sexist.Plot wise this is nothing unique, I've seen this kind of movie enough times to think I myself might be in a time loop. Didn't really offer anything new except for the, well, cum pool I guess.",positive
Timecrimes,lowest,"the protagonist is a fat, slow, stupid creep.",negative
Timecrimes,lowest,This is one of my least favorite portrayals of time travel - causal loops can be fun (where you only do something because you did it before) but the origin of that action should have some meaning to it or some relation to the character’s will - making the woman take off her clothes in the forest for no reason just because he’d seen it before felt like a poorly chosen and unnecessarily explicit way to demonstrate this. Also was…,negative
Timecrimes,lowest,"If one have watched a handful of time travel movies, they alomst would have known what is happening and what is about to. With it being made one and a hald decade before, it might have been riveting then but I feel that it didn't stand the test of the time.",positive
Timecrimes,lowest,"This felt very male gaze-y and the storyline was very basic. I was not entertained at all, so there’s 1 star for you.",neutral
Timecrimes,lowest,"I’ll be quick: this movie is dreadful. It tries to be smart, to be dark, to be somehow good, and it catastrophically fails at everything it does. It’s not surprising, it’s not intense, it’s not enjoyable at all. And worst of all: despite being 80 minutes long, it makes you sit through it as if it were a 4 hour long feature — behaving as if it were profound, moving awfully slow… and, let’s be honest, making you feel as if you wasted 240 minutes of your life when you haven’t even wasted 90.I still can’t believe how awful this movie was, really… *sigh*",negative
Timecrimes,lowest,"Idiot man defies darwinism, unfortunately.",negative
Timecrimes,highest,Hector is the unemployed friend on a random Tuesday,negative
Timecrimes,highest,Brilliant. Very good concept and very well done.,positive
Timecrimes,highest,This is one of the most excellent and well-developed time travel stories ever to be put on screen. Shame the bike girl went through all that.,positive
Timecrimes,highest,"Proof that you don't need a big budget or special effects to make compelling sci-fi. Simplicity in the setting works as the script, mood and performances are so tight and wonderfully engrossing. It's stressful, which is layered through the increasingly disastrous effects of how the film portrays it's time travel concepts. It's small in scope and it benefits massively from that restrained. The film aesthetic could of been very dark and hard to distinguish, but you can see everying from…",negative
Timecrimes,highest,"talked about forEpisode 001 of my podcast alongside The Time Machine (1960) with guest Taylor Wilson, also available on Spotify, Apple Podcasts, and wherever else :).was thinking 4.5 or 5, but this has stuck with me a bit since watching it. Part of the reason is that I really like The Swimmer, and this gave me major The Swimmer vibes. And I love little 90 minute movies. And I love the way it was shot. And I loved how lurid it went. Yeah, 5 stars, I think perfect. Excited to see other of Vigalondo's work!",positive
Timecrimes,highest,"How the fuck can't Hollywood compete with a movie with a budget of two millions, names you never heard of and music which sounds so old it could be royality free again?The execution, the concept, the characters, the actors, just everything clicks very satisfyingly together. Yeah, even the music. I can't fathom how Nacho Vigalondo wasn't overly night a second Christopher Nolan. I mean, okay, he did work one time with Elijah Wood, but that seemed to be the death of his carrer, sadly. Speaking of, Open Windows just jumped massively on my watchlist!",positive
Timecrimes,highest,"HOLY HELLThe less you know about this movie going in, the better",positive
Timecrimes,highest,"Wow. Fantastically plotted, paced, directed and acted! Amazing film that answers most of it's own questions which is rare in time travel movies. Most of the time there are massive plot holes, but here it is more of mildly odd decisions by the main character at most. But at the same time, Hector seems to be sort of a mild mannered every day sort of dude, not really have been prepared for being thrust into a time travel situation.The…",positive
The Guilty,lowest,"Not sure why this is getting such rapturous praise (currently sitting at 99% on RT). I thought this was incredibly boring. Words like “nail-biting”, “tons of twists-&-turns”, “gripping” & “clever” were used but I never experienced any of that during the film.The plot concerns an emergency dispatch officer who receives a troubling phone call. This is a single-location movie similar to such films like Phone Booth, Buried & Locke; the latter being used as the most obvious comparison as the film…",negative
The Guilty,lowest,Thrillers work mostly due to a threat to their featured protagonist. Cortes' Buried is tense because Reynolds is buried alive and tries not to die. It's not just about resisting death. But... WE CARE! The threats here are happening not to the character seen on screen. And we don't connect to them dramatically because of the mystery. They are even a total stranger! An idea destined to flounder. And it does!,negative
The Guilty,lowest,i was hoping i’d like the original better but i think the execution was still poor and i hate the sub plots,negative
The Guilty,lowest,"The more I think about this film, the angrier it makes meI can't fault the acting or pacing, and the premise is brilliant,However, what begins as a gripping and timely thriller, in which a domestic violence situation becomes a terrifying ticking clock, is ultimately a story of villifying mental illness while absolving or glossing over the violence and abuse of power of men",negative
The Guilty,lowest,never knew a movie can make me regret this much I saw it. der film war SO was von without sens. ✨wasted 90 mins of my life✨,positive
The Guilty,lowest,Was so hard not to fall asleep.~Half a star.,negative
The Guilty,lowest,"I didn't care for this movie. Watching one guy for 90 minutes isn't that exciting even if the story was pretty good. This, much like Locke, fails.",positive
The Guilty,lowest,"I never got around to logging this because fffffffffuck this film but news is there’s an American remake on its way?KEEP IT.Make better choices, Jakey G.",positive
The Guilty,lowest,"This is vile trash. Obvious as hell and doesn’t have nearly enough material for its slim runtime, and initially it seems like it’s going to run the protagonist’s redemption arc through a domestic violence narrative. That’s gross enough, but then there’s a completely reprehensible “twist” that basically turns the film into wank fodder for Men’s Rights Activists.Fuck everyone involved with the making of this movie.Edited to add: I'm baffled by everyone praising the sound design because I found…",positive
The Guilty,lowest,"It feels like a first year film student's project, painfully predictable. I kept watching in hopes of it giving me more than a weak twist but I wasn't left with much.",positive
The Guilty,highest,"Very high on my list of awesome experiences inside the Kimball Tower. I was kinda worried that staying inside the office the whole time would feel gimmicky, but it was so far from that. I was also worried that it would be an oversimplified, over-glorified portrait of a cop, but it was again, very far from that.It was incredibly written, paced, acted, and shot. I think I was most impressed by the actors we didn’t get to see. Lots of emotion in just voices. Awesome!!!!!!",positive
The Guilty,highest,"The best film I’ve seen with a one location premise, also completely in real time so the suspense is crazy.In between the dramatic moments of tension and action you just watch the protagonist wrack his brain trying to figure out what to do next - that is cinema",positive
The Guilty,highest,The writing and acting it takes to make a movie this good while all events take place through a phone call is incredible. This is a first watch masterpiece.I haven’t watched the Jake whateverhall version but I think it’s safe to say that you’d be doing yourself a favor to just read subtitles.,positive
The Guilty,highest,this is way better than the jake gyllenhal versioni love how great denmark is at making moviesdannebrog🤘🇩🇰,positive
The Guilty,highest,This is perhaps the most intense and claustrophobic experience I've ever had. The film grabs you and does not let go for a single second as you watch a dubious dispatcher stumble his way through a nightmare scenario. What earns me the five stars is that it did not let up even at the very end. It continues to get deeper and more complex while utilizing only one backdrop. The dialogue although translated from a language I do not speak…,positive
The Guilty,highest,"So much better than the remake, Americans, stop doing stuff",positive
The Guilty,highest,Alarm center police guy. Who is the actual guilty person. Thrilling. Holywood made a remake.,negative
The Guilty,highest,Had to watch this in preparation for acting class. Masterful suspense thriller. Doesn’t leave a moment to waste and you are on edge the whole time especially with the twists and turns that ensue throughout the duration of the picture.,positive
