film,sort_type,review,sentiment,clean_text
Blue Ruin,highest,gotta be my favourite director fr,positive,gotta be my favourite director fr
Blue Ruin,highest,"This is a perfect, awkward thriller.",positive,this is a perfect awkward thriller
Blue Ruin,highest,Goddamn this movie is good. It’s tight and tense. Exactly what a revenge thriller should be.,positive,goddamn this movie is good its tight and tense exactly what a revenge thriller should be
Blue Ruin,highest,Slick. Director doesn't waste time.,positive,slick director doesnt waste time
Blue Ruin,highest,"A lot of movies move the plot along, or slow the plot down, by making characters do the dumbest or most irrelevant things possible so it just feels like random parts are moving around for no discernible reason. This guy's movies are so tight and gripping because there is none of that. No goofing around, no needless monologues or dialogue, no meandering just to drag viewers through something the director insists on including. All of the events in his movies are causal and fast, which can make for a very scary movie.",positive,a lot of movies move the plot along or slow the plot down by making characters do the dumbest or most irrelevant things possible so it just feels like random parts are moving around for no discernible reason this guys movies are so tight and gripping because there is none of that no goofing around no needless monologues or dialogue no meandering just to drag viewers through something the director insists on including all of the events in his movies are causal and fast which can make for a very scary movie
Blue Ruin,highest,"After Rebel Ridge, I just had to go back. Spend some time in the dark with Macon. He's so fuckin' good. Like a schlubby terminator. Moments of odd humor pepper what would otherwise me a mercilessly black pit of human suffering. Absolutely delicious. I love this movie.",positive,after rebel ridge i just had to go back spend some time in the dark with macon hes so fuckin good like a schlubby terminator moments of odd humor pepper what would otherwise me a mercilessly black pit of human suffering absolutely delicious i love this movie
Blue Ruin,highest,"Now "" this is real Revenge Story ""Most revenge films sell the illusion of control—violence as a means of power, of setting things right. It have no such catharsis , satisfactory monologue . Blue Ruin dismantles that illusion piece by piece, leaving only the hollow, self-destructive truth behind. There’s no satisfaction here, no justice, just a man walking into a storm he doesn’t understand and can’t survive.Dwight, played with quiet devastation by Macon Blair, is not a hero,…",positive,now this is real revenge story most revenge films sell the illusion of controlviolence as a means of power of setting things right it have no such catharsis satisfactory monologue blue ruin dismantles that illusion piece by piece leaving only the hollow self-destructive truth behind theres no satisfaction here no justice just a man walking into a storm he doesnt understand and cant survivedwight played with quiet devastation by macon blair is not a hero
Cold in July,lowest,"Cold in July wants to be like 7 different movies at once, and as a result it fails at being even one. It's been a long time since I've seen a movie as completely and utterly confused as this one.",negative,cold in july wants to be like different movies at once and as a result it fails at being even one its been a long time since ive seen a movie as completely and utterly confused as this one
Cold in July,lowest,"Started out good, then twisted into something that made no sense and left me with that WTF feeling.Loved Don Johnson",negative,started out good then twisted into something that made no sense and left me with that wtf feelingloved don johnson
Cold in July,lowest,I guess it’s a cishet guy thing.,negative,i guess its a cishet guy thing
Cold in July,lowest,im just really done with the exploitation of women's pain so that random dudes can kick ass and look good,negative,im just really done with the exploitation of womens pain so that random dudes can kick ass and look good
Cold in July,lowest,"On paper it contains all the twist and turns you might expect from a good thriller, but in reality it's lacking in terms of suspense or excitement. The movie also lacks a real clear theme making it feel quite hollow when all is said and done.",negative,on paper it contains all the twist and turns you might expect from a good thriller but in reality its lacking in terms of suspense or excitement the movie also lacks a real clear theme making it feel quite hollow when all is said and done
Cold in July,lowest,"Cold in July AKA How to destroy a great thriller by turning it into a stupid ass story! Seriously, a snuff movie ring?! This stupid urban legend again?!What of the whole first act and the intricate story about the unindentified body in the coffin, the Mafia and the crooked cops???!!! They magically disappear in the second act! Voilà!Then watchout for the rest of the show in which I'm going to pull a cheap Dollarstore plastic rabbit out of my paper hat! What? You've seen that before?! Well hold on because this is where we're going!This is so stupid. Fuck you!",negative,cold in july aka how to destroy a great thriller by turning it into a stupid ass story seriously a snuff movie ring this stupid urban legend againwhat of the whole first act and the intricate story about the unindentified body in the coffin the mafia and the crooked cops they magically disappear in the second act voilathen watchout for the rest of the show in which im going to pull a cheap dollarstore plastic rabbit out of my paper hat what youve seen that before well hold on because this is where were goingthis is so stupid fuck you
Cold in July,lowest,"This is truthfully one of the worst movies that I’ve ever seen. The cinematography, score, pacing, direction, script, and acting are all extremely poor. This film feels like it was shot in a week, with no opportunity for reshoots. Many loose ends, character motivations that are never explained, everything sucked.Imagine a feature length episode of season 7 Dexter. Only worse. I cannot believe something like this made it past the cutting floor.",negative,this is truthfully one of the worst movies that ive ever seen the cinematography score pacing direction script and acting are all extremely poor this film feels like it was shot in a week with no opportunity for reshoots many loose ends character motivations that are never explained everything suckedimagine a feature length episode of season dexter only worse i cannot believe something like this made it past the cutting floor
Cold in July,lowest,"story had great potential, had its twists and turns. but could have used better direction and writing.",negative,story had great potential had its twists and turns but could have used better direction and writing
Cold in July,lowest,"COLD IN JULY (Jim Mickle, USA, 2014, 2)Cold in July, for this Texas-set film, would be more believable than anything that happens in it. Yes, plausibility isn’t everything, but when you start out with as much psychological acuity and apparent seriousness as Jim Mickle’s Cold in July, you can’t turn into Death Wish; I call this “Fatal Attraction Disorder”. In the opening scene, Texas family man Richard Dane (Michael C. Hall) shoots a burglar in his home. It turns…",negative,cold in july jim mickle usa cold in july for this texas-set film would be more believable than anything that happens in it yes plausibility isnt everything but when you start out with as much psychological acuity and apparent seriousness as jim mickles cold in july you cant turn into death wish i call this fatal attraction disorder in the opening scene texas family man richard dane michael c hall shoots a burglar in his home it turns
Cold in July,lowest,“I got cows in that pasture.” - Jim Bob.,negative,i got cows in that pasture jim bob
Cold in July,lowest,Man shoots an intruder and joins a gay polycule. He and his partners then go on a trip to destroy sex predators.,negative,man shoots an intruder and joins a gay polycule he and his partners then go on a trip to destroy sex predators
Cold in July,highest,Underrated gem. One of my favorites.,positive,underrated gem one of my favorites
Cold in July,highest,Went into this for Michael C. Hall and didn’t have much expectation but holy shit. Texas noir 80 coded thrillers >>>> There were so many unexpected turns. The whole cast was amazing. I loveeeddd this.,positive,went into this for michael c hall and didnt have much expectation but holy shit texas noir coded thrillers there were so many unexpected turns the whole cast was amazing i loveeeddd this
Cold in July,highest,"Don Johnson is incredible in this movie. Love to watch the man act. Sam Shepard is a convincing and likable everyman.Michael C. Hall delivers a performance that is chilling at times, and even heartbreaking.The movie has some twists and turns that will genuinely keep you interested. Let your guard down, heat up some popcorn, and relax.",positive,don johnson is incredible in this movie love to watch the man act sam shepard is a convincing and likable everymanmichael c hall delivers a performance that is chilling at times and even heartbreakingthe movie has some twists and turns that will genuinely keep you interested let your guard down heat up some popcorn and relax
Cold in July,highest,John Carptenter’s Blood 8mm Simple.,positive,john carpenters blood mm simple
Cold in July,highest,"Just love Michael C. Hall so much, this is so amazing, everybody plays their role perfect. I absolutely loved the turn this movie took, it’s just executed so perfectly. Perfect reward you get in the end, yet still a little depressing.",positive,just love michael c hall so much this is so amazing everybody plays their role perfect i absolutely loved the turn this movie took its just executed so perfectly perfect reward you get in the end yet still a little depressing
Cold in July,highest,"You got the picture, framer!A deep-fried distillation of '80s genre fare - horror, buddy comedy, sleaze, action, neo-noir - that unspools freely as a tautly unpredictable, tone-shifting, shit-kicking facemelter.Cold in Julyis also a film that crucially sidesteps the hollow nostalgic fawning over the neon-synth scuzz of that particular decade (which I'm sure we can agree the 2010s were a little too obsessed with) with a poignant central trajectory concerning the coming-of-age-of-a-forty-year-old Texan who is at odds with…",positive,you got the picture framera deep-fried distillation of s genre fare - horror buddy comedy sleaze action neo-noir - that unspools freely as a tautly unpredictable tone-shifting shit-kicking facemeltercold in julyis also a film that crucially sidesteps the hollow nostalgic fawning over the neon-synth scuzz of that particular decade which im sure we can agree the s were a little too obsessed with with a poignant central trajectory concerning the coming-of-age-of-a-forty-year-old texan who is at odds with
Cold in July,highest,"Outstanding on every level. Taught, brilliant script. No spare words. Outstanding performances. Watch this one right now. Best film I've seen in a long time.",positive,outstanding on every level taught brilliant script no spare words outstanding performances watch this one right now best film ive seen in a long time
Cold in July,highest,Can’t believe there was a time where I thought this was anything less than five stars. Dudes friggin’ rock.,positive,cant believe there was a time where i thought this was anything less than five stars dudes friggin rock
Cold in July,highest,"What if A Walk Amongst Tombstones and Dragged Against Concrete had a baby? It’d be Cold In July.Having the brains and blood splatter the painting during the opening scene was such a cool idea. Dane, Ben, and Jim Bob are some of the best written characters I’ve ever seen on screen. There was so much packed into their characters as soon as they’re on screen for a few minutes it feels like you know everything about them. Jim Bob being the best example (was very bummed I didn’t think he make it). This was a certified banger I look forward to watching again soon.",positive,what if a walk amongst tombstones and dragged against concrete had a baby itd be cold in julyhaving the brains and blood splatter the painting during the opening scene was such a cool idea dane ben and jim bob are some of the best written characters ive ever seen on screen there was so much packed into their characters as soon as theyre on screen for a few minutes it feels like you know everything about them jim bob being the best example was very bummed i didnt think he make it this was a certified banger i look forward to watching again soon
Cold in July,highest,"Third time watch and it’s masterpiece. Please watch it, you won’t regret it",positive,third time watch and its masterpiece please watch it you wont regret it
Cold in July,highest,"i think the problem with people who want border security is that they focus too much on fearmongering illegal immigrants’ personalities. there’s multiple sides to that argument like wanting to have less demand for products or jobs therefore having more supply, but the side i want to focus on is that not only are people not accounted for, allowing them to be exploited by businesses, but children are also not accounted for, allowing them to be exploited by something maybe more…",positive,i think the problem with people who want border security is that they focus too much on fearmongering illegal immigrants personalities theres multiple sides to that argument like wanting to have less demand for products or jobs therefore having more supply but the side i want to focus on is that not only are people not accounted for allowing them to be exploited by businesses but children are also not accounted for allowing them to be exploited by something maybe more
Cold in July,highest,"I love it when a “you messed with the wrong guy” type narrative isn’t “turns out this guy was special forces, he killed Satan in desert storm,” and instead is more just “a hapless Joe Schmoe who finds in himself the principle to not let an evil act go unanswered.”",positive,i love it when a you messed with the wrong guy type narrative isnt turns out this guy was special forces he killed satan in desert storm and instead is more just a hapless joe schmoe who finds in himself the principle to not let an evil act go unanswered
Cold in July,highest,"best hotline miami esque film ive watched thus far, synth score don johnson and a neo-noir genre blend that's all you need to know.",positive,best hotline miami esque film ive watched thus far synth score don johnson and a neo-noir genre blend thats all you need to know
Cold in July,highest,Cold in July is proof that great ideas can outshine a small budget.,positive,cold in july is proof that great ideas can outshine a small budget
A Hijacking,lowest,Remember when Tarantino kinda skipped jewelry heist in Reservoir Dogs? And like how cool that was for indie filmmaking? Like We dont need to show the most expensive scene!Yeah... dont do that unless youre Taratino.,negative,remember when tarantino kinda skipped jewelry heist in reservoir dogs and like how cool that was for indie filmmaking like we dont need to show the most expensive sceneyeah dont do that unless youre taratino
A Hijacking,lowest,Beth Greenerealness sa isang scene 😂,negative,beth greenerealness sa isang scene
A Hijacking,lowest,The beginning act was very sluggish and a chore to get through but the rest of the movie was fine afterwards. My biggest strife with the movie was that it was intended to be very character driven but there’s barely any room for empathy and the characters were very 2 dimensional and didn’t really have much personality,negative,the beginning act was very sluggish and a chore to get through but the rest of the movie was fine afterwards my biggest strife with the movie was that it was intended to be very character driven but theres barely any room for empathy and the characters were very dimensional and didnt really have much personality
A Hijacking,lowest,"Really disappointing hijack drama about a group of Danish oil tanker workers taken prisoner by Somali pirates. The film is subtle and deserves credit for focusing on the realistic negotiating complexity of a hijacking situation... But ultimately, nothing really happens. It doesn't have very much depth, it's just a series of scenes between the Somali captors and the hijacked crew intercut with dour conference room scenes where tension is delivered by waiting for faxes to arrive (the oil tanker company…",negative,really disappointing hijack drama about a group of danish oil tanker workers taken prisoner by somali pirates the film is subtle and deserves credit for focusing on the realistic negotiating complexity of a hijacking situation but ultimately nothing really happens it doesnt have very much depth its just a series of scenes between the somali captors and the hijacked crew intercut with dour conference room scenes where tension is delivered by waiting for faxes to arrive the oil tanker company
A Hijacking,lowest,I think paint takes longer to dry than running time of this movie. I think I would still rather watch the latter.,negative,i think paint takes longer to dry than running time of this movie i think i would still rather watch the latter
A Hijacking,lowest,"Tracking a fictional hijacking situation at sea, Tobias Lindholm's film values process over progress, where the ""heroes"" and ""villains"" play a politicking game of chess in which each seemingly trivial move is an irretractable act of positioning. If you're fascinated by a moody, slow-moving game of ""guess the number"" then A Hijacking will have you hooked but if you're looking for a bit of excitement and flourish in your thriller, you may quickly find your senses dulled by the vacillating…",negative,tracking a fictional hijacking situation at sea tobias lindholms film values process over progress where the heroes and villains play a politicking game of chess in which each seemingly trivial move is an irretractable act of positioning if youre fascinated by a moody slow-moving game of guess the number then a hijacking will have you hooked but if youre looking for a bit of excitement and flourish in your thriller you may quickly find your senses dulled by the vacillating
A Hijacking,lowest,"This was the movie equivalent of reading a newspaper article. It had all the facts and told you the story, but didn't flesh anything out or paint much of a visual.",negative,this was the movie equivalent of reading a newspaper article it had all the facts and told you the story but didnt flesh anything out or paint much of a visual
A Hijacking,lowest,"Not as compelling as Captain Phillips, but I think more true to the story.",negative,not as compelling as captain phillips but i think more true to the story
A Hijacking,lowest,not necessarily a bad movie but a movie that i absolutely did not enjoy.well made and interesting plot and defo worth reading about the director and the making of the filmthis is the kind of movie i have to read the wiki plot for beforehand so i don’t give myself an anxiety attack,negative,not necessarily a bad movie but a movie that i absolutely did not enjoywell made and interesting plot and defo worth reading about the director and the making of the filmthis is the kind of movie i have to read the wiki plot for beforehand so i dont give myself an anxiety attack
A Hijacking,lowest,"I'm not sure you could have done less, or made a less compelling film about a hijacking. It's not gripping, it's not compelling, it's just dull and often very frustrating. I wasn't shocked to find out that Tobias Lindholm wrote (and directed) this film, having pennedThe Huntas well.There is rarely any emotion, little acting required and with almost four months at sea and very little food, the crew never seemed to lose weight at all. There were too many little annoying things like that that made this film very forgettable for me. And what an anti-climactic ending.",negative,im not sure you could have done less or made a less compelling film about a hijacking its not gripping its not compelling its just dull and often very frustrating i wasnt shocked to find out that tobias lindholm wrote and directed this film having pennedthe huntas wellthere is rarely any emotion little acting required and with almost four months at sea and very little food the crew never seemed to lose weight at all there were too many little annoying things like that that made this film very forgettable for me and what an anti-climactic ending
A Hijacking,lowest,"Idk if it’s studio meddling or just incompetency, but the editing here is awful. It feels like there is soooo much material missing. And it’s truly sad because the scenes, in itself, are all solid.Pilou Asbæk and Søren Malling are doing very well in their scenes. The camerawork and directing is okay. Nothing that stands out as good but nothing that stands out as bad either. The phone call between the cook and his wife was my fav part…",negative,idk if its studio meddling or just incompetency but the editing here is awful it feels like there is soooo much material missing and its truly sad because the scenes in itself are all solidpilou asbæk and søren malling are doing very well in their scenes the camerawork and directing is okay nothing that stands out as good but nothing that stands out as bad either the phone call between the cook and his wife was my fav part
A Hijacking,lowest,"An interesting idea, I guess, and probably a somewhat accurate representation of what these situations are really like—but in practice, this felt unnecessarily punishing and repetitive. Not that it's meant to be a feel-good film, but its relentless dourness felt undeserved.The portion taking place at the company offices was the biggest offender, with the CEO's stubborn bargaining scenes repeating themselves over and over, but the events on the boat weren't particularly eventful either. Realistic maybe, but for a fiction…",negative,an interesting idea i guess and probably a somewhat accurate representation of what these situations are really likebut in practice this felt unnecessarily punishing and repetitive not that its meant to be a feel-good film but its relentless dourness felt undeservedthe portion taking place at the company offices was the biggest offender with the ceos stubborn bargaining scenes repeating themselves over and over but the events on the boat werent particularly eventful either realistic maybe but for a fiction
A Hijacking,highest,Gonna do a bit more revision for my maritime security exam now methinks,positive,gonna do a bit more revision for my maritime security exam now methinks
A Hijacking,highest,"Great film, this movie really shows on what the seamans cdo whenever they find themselves in a incident such as a hijacking by pirates. These film reminds me of the Captain Philips film.",positive,great film this movie really shows on what the seamans cdo whenever they find themselves in a incident such as a hijacking by pirates these film reminds me of the captain philips film
A Hijacking,highest,Anything less than 5 stars feels unjustified.Extremely well done. I've watched some amazing Scandinavian films of late.Wouldn't want to be Mikkel at the end! Hope that wasn't a true anecdote from a real hijacking.,positive,anything less than stars feels unjustifiedextremely well done ive watched some amazing scandinavian films of latewouldnt want to be mikkel at the end hope that wasnt a true anecdote from a real hijacking
A Hijacking,highest,"A Danish ship is hijacked by Somalian pirates. A harrowing thriller shot with the intimacy of a documentary. The movie allows you to come up for air every now and again, but it’s a ruse. It doesn’t let up until its last dying frame. And the performances of all, are of the type that succeed in letting you forget they’re acting. This was exhausting.",positive,a danish ship is hijacked by somalian pirates a harrowing thriller shot with the intimacy of a documentary the movie allows you to come up for air every now and again but its a ruse it doesnt let up until its last dying frame and the performances of all are of the type that succeed in letting you forget theyre acting this was exhausting
A Hijacking,highest,"People from Scandinavian countries make cool movies. ie: Sweden's Let The Right One In. This atypical sea-bound hostage thriller is from Denmark. It's Captain Phillips but with more boardrooms and less Tom Hanks. The film cuts back and forth between the events on a hijacked ship and the hostage negotiation process back on land. The two main guys, the ship's cook and the head corporate dude, are great. Sounds mad boring, but is instead scary and tense.",positive,people from scandinavian countries make cool movies ie swedens let the right one in this atypical sea-bound hostage thriller is from denmark its captain phillips but with more boardrooms and less tom hanks the film cuts back and forth between the events on a hijacked ship and the hostage negotiation process back on land the two main guys the ships cook and the head corporate dude are great sounds mad boring but is instead scary and tense
A Hijacking,highest,A great representation on what and how the seamans will do and react whenever unexpected events such as a hijacking occurs. This film definitely reminds me of Captain Philips. Im glad that the ending was a good one,positive,a great representation on what and how the seamans will do and react whenever unexpected events such as a hijacking occurs this film definitely reminds me of captain philips im glad that the ending was a good one
A Hijacking,highest,A stunning tense piece of cinema.,positive,a stunning tense piece of cinema
A Hijacking,highest,"This is a film about a cargo ship that is attacked by Somali pirates and the negotiations with the ship's company in Copenhagen. This film is heart wrenching and very suspenseful but what I think blew me away the most was how there is really no true antagonist. The filmmaker does such a great job at distributing empathy throughout the characters... As Renoir says in the French masterpiece, Rules of the Game (1939): ""The awful thing about life is this: Everybody has their reasons....""",positive,this is a film about a cargo ship that is attacked by somali pirates and the negotiations with the ships company in copenhagen this film is heart wrenching and very suspenseful but what i think blew me away the most was how there is really no true antagonist the filmmaker does such a great job at distributing empathy throughout the characters as renoir says in the french masterpiece rules of the game the awful thing about life is this everybody has their reasons
A Hijacking,highest,"Move over Captain Phillips, this is the pirate movie to watch",positive,move over captain phillips this is the pirate movie to watch
A Hijacking,highest,"Harrowing but gripping tale focusing on the negotiations for the release of a hijacked container ship. The tension just ratchets up, you feel like you are in the room scared of how the hijackers will react. You can also feel the desparation of the hostages and the isolation they feel when they hear that their bosses won't just pay the money. You can see them slowly degrade and dehumanise as time goes on. An excellent film, all the better for ignoring the action of the hijacking itself and delving into the psychological torture of those on the ship and those back home.",positive,harrowing but gripping tale focusing on the negotiations for the release of a hijacked container ship the tension just ratchets up you feel like you are in the room scared of how the hijackers will react you can also feel the desparation of the hostages and the isolation they feel when they hear that their bosses wont just pay the money you can see them slowly degrade and dehumanise as time goes on an excellent film all the better for ignoring the action of the hijacking itself and delving into the psychological torture of those on the ship and those back home
A Hijacking,highest,"A suspenseful film about the hijacking of a cargo ship by Somali pirates. Unlike captain Phillips, this film focusses on the negotiation with the Danish CEO. Flipping between the boat and the office room where the negotiations are taking place, the film manages to be suspenseful in both locations with masterful acting. The drama which plays out feels very real, very bleak and very claustrophobic. Great cinema.",positive,a suspenseful film about the hijacking of a cargo ship by somali pirates unlike captain phillips this film focusses on the negotiation with the danish ceo flipping between the boat and the office room where the negotiations are taking place the film manages to be suspenseful in both locations with masterful acting the drama which plays out feels very real very bleak and very claustrophobic great cinema
A Hijacking,highest,"The road to Denmark - the hidden gems⬅️I was completely on board from the beginning. A tragic and stressful race against time, with beautiful landscapes",positive,the road to denmark - the hidden gemsi was completely on board from the beginning a tragic and stressful race against time with beautiful landscapes
A Hijacking,highest,Wow. This is the pirate movie to watch,positive,wow this is the pirate movie to watch
Loveless,lowest,I can’t believe that I wasted 2 hours of my life on this trash,negative,i cant believe that i wasted hours of my life on this trash
Loveless,lowest,"It was beautifully shot and the acting was excellent, but the story and pacing were just dreadful. The second half during the searching felt like it went on forever.",negative,it was beautifully shot and the acting was excellent but the story and pacing were just dreadful the second half during the searching felt like it went on forever
Loveless,lowest,Hated every second of this tiring and pretentious film,negative,hated every second of this tiring and pretentious film
Loveless,lowest,"A fairly long while ago I read a brief collection of short stories by Shirley Jackson. I've been haunted by a couple of the stories it contained ever since, but the first one left a particularly indelible impression. It was The Missing Girl, wherein over just a handful of pages, Jackson describes the circumstances unfolding upon the discovery that a young teenage girl has disappeared from a campground, seemingly without trace. The succinct portrait Jackson paints of the mechanical way…",negative,a fairly long while ago i read a brief collection of short stories by shirley jackson ive been haunted by a couple of the stories it contained ever since but the first one left a particularly indelible impression it was the missing girl wherein over just a handful of pages jackson describes the circumstances unfolding upon the discovery that a young teenage girl has disappeared from a campground seemingly without trace the succinct portrait jackson paints of the mechanical way
Loveless,lowest,11:15am at Highland Park Renaissance,negative,am at highland park renaissance
Loveless,lowest,Shoutout Jack Caccavari because we both had to watch this piece of trash for class,negative,shoutout jack caccavari because we both had to watch this piece of trash for class
Loveless,lowest,Didn't watch this but my bloody valentine SUCK!!!!!!!!!!!!!!!!!!,negative,didnt watch this but my bloody valentine suck
Loveless,highest,This is not a story about good and evil It is about parents who have never received love And therefore cannot give it to their child They repeat their mistakes over and over And do not learn from the tragedy The film does not provide a solution or comfort It deals with a harsh reality where love is absent,positive,this is not a story about good and evil it is about parents who have never received love and therefore cannot give it to their child they repeat their mistakes over and over and do not learn from the tragedy the film does not provide a solution or comfort it deals with a harsh reality where love is absent
Loveless,highest,"This is a third time I've watched it and every time I am reassured that Zvyagintsev is total genious. Amazing movie, it drags you in from the very beginning with perfect acting and cinematography.",positive,this is a third time ive watched it and every time i am reassured that zvyagintsev is total genious amazing movie it drags you in from the very beginning with perfect acting and cinematography
Loveless,highest,A suprise to no one. Russians make about as good parents as they do a functional Democracy,positive,a suprise to no one russians make about as good parents as they do a functional democracy
Loveless,highest,"I am officially putting this as my second favorite film of all time. My rewatch hit, it hit hard. I’ve thought about this film ever since I watched it for the first time (years ago).",positive,i am officially putting this as my second favorite film of all time my rewatch hit it hit hard ive thought about this film ever since i watched it for the first time years ago
Loveless,highest,Damn. Your kid running away must be a real bummer...,positive,damn your kid running away must be a real bummer
Loveless,highest,"I believe I was shown part of this in a seminar in 3rd year or something. Anyway, I should have trusted my gut; this is the most depressing film of all time and I hate it!",positive,i believe i was shown part of this in a seminar in rd year or something anyway i should have trusted my gut this is the most depressing film of all time and i hate it
Loveless,highest,"10 years after The banishment, this one cuts even deeper. It goes right under your skin.Another cinematic tour-de-force by Zvyagintsev. A dark jewel. Better than The banishment, in my opinion (and others).'Loveless' revolves around a young couple who lose not only each other but also their son in their marital struggle. When their 12-year-old son disappears, the couple is confronted with their own shortcomings.""Up until now, Russian filmmaker Andrej Zvyagintsev has only made good to excellent films,…",positive,years after the banishment this one cuts even deeper it goes right under your skinanother cinematic tour-de-force by zvyagintsev a dark jewel better than the banishment in my opinion and othersloveless revolves around a young couple who lose not only each other but also their son in their marital struggle when their -year-old son disappears the couple is confronted with their own shortcomingsup until now russian filmmaker andrej zvyagintsev has only made good to excellent films
Loveless,highest,"The story of Loveless is very captivating even though it's a patient slow-burn with a lot of long-takes, dialogue and a big emphasis on atmosphere. From the opening shot to the final shot it's a depressing experience with lots of unexpected turns, and it's a film that keeps you guessing and wondering even after the credits roll. It's one that sits with you and is on your mind for a long time after watching it.Our two lead actors, Maryana…",positive,the story of loveless is very captivating even though its a patient slow-burn with a lot of long-takes dialogue and a big emphasis on atmosphere from the opening shot to the final shot its a depressing experience with lots of unexpected turns and its a film that keeps you guessing and wondering even after the credits roll its one that sits with you and is on your mind for a long time after watching itour two lead actors maryana
Loveless,highest,i'll never forget how heartbreaking this was,positive,ill never forget how heartbreaking this was
