film,sort_type,review
Cold in July,highest,"i think the problem with people who want border security is that they focus too much on fearmongering illegal immigrants’ personalities. there’s multiple sides to that argument like wanting to have less demand for products or jobs therefore having more supply, but the side i want to focus on is that not only are people not accounted for, allowing them to be exploited by businesses, but children are also not accounted for, allowing them to be exploited by something maybe more…"
Cold in July,highest,"I love it when a “you messed with the wrong guy” type narrative isn’t “turns out this guy was special forces, he killed Satan in desert storm,” and instead is more just “a hapless Joe Schmoe who finds in himself the principle to not let an evil act go unanswered.”"
Cold in July,highest,"best hotline miami esque film ive watched thus far, synth score don johnson and a neo-noir genre blend that's all you need to know."
Cold in July,highest,Cold in July is proof that great ideas can outshine a small budget.
A Hijacking,lowest,"Avec Hijacking, Tobias Lindholm nous plonge dans un presque huis clos, dans un bateau danois attaqué par des pirates. La tension monte rapidement et on se prend dans l'histoire. Mais le gros point noir du film est son traitement. Lindholm a décidé de ne parler que de rançon, d'argent et de négociation. Bien que ce ne soit pas inintéressant, ce n'est clairement pas le sujet le plus imposant dans un tel cadre. Ainsi, la psychologie des personnages, leur santé, leur…"
A Hijacking,lowest,Tam Nijerya seferi esnasında izlenecek film😇
A Hijacking,lowest,Remember when Tarantino kinda skipped jewelry heist in Reservoir Dogs? And like how cool that was for indie filmmaking? Like We dont need to show the most expensive scene!Yeah... dont do that unless youre Taratino.
A Hijacking,lowest,Beth Greenerealness sa isang scene 😂
A Hijacking,lowest,The beginning act was very sluggish and a chore to get through but the rest of the movie was fine afterwards. My biggest strife with the movie was that it was intended to be very character driven but there’s barely any room for empathy and the characters were very 2 dimensional and didn’t really have much personality
A Hijacking,lowest,"Really disappointing hijack drama about a group of Danish oil tanker workers taken prisoner by Somali pirates. The film is subtle and deserves credit for focusing on the realistic negotiating complexity of a hijacking situation... But ultimately, nothing really happens. It doesn't have very much depth, it's just a series of scenes between the Somali captors and the hijacked crew intercut with dour conference room scenes where tension is delivered by waiting for faxes to arrive (the oil tanker company…"
A Hijacking,lowest,I think paint takes longer to dry than running time of this movie. I think I would still rather watch the latter.
A Hijacking,lowest,"Tracking a fictional hijacking situation at sea, Tobias Lindholm's film values process over progress, where the ""heroes"" and ""villains"" play a politicking game of chess in which each seemingly trivial move is an irretractable act of positioning. If you're fascinated by a moody, slow-moving game of ""guess the number"" then A Hijacking will have you hooked but if you're looking for a bit of excitement and flourish in your thriller, you may quickly find your senses dulled by the vacillating…"
A Hijacking,lowest,"This was the movie equivalent of reading a newspaper article. It had all the facts and told you the story, but didn't flesh anything out or paint much of a visual."
A Hijacking,lowest,"Not as compelling as Captain Phillips, but I think more true to the story."
A Hijacking,lowest,not necessarily a bad movie but a movie that i absolutely did not enjoy.well made and interesting plot and defo worth reading about the director and the making of the filmthis is the kind of movie i have to read the wiki plot for beforehand so i don’t give myself an anxiety attack
A Hijacking,lowest,"I'm not sure you could have done less, or made a less compelling film about a hijacking. It's not gripping, it's not compelling, it's just dull and often very frustrating. I wasn't shocked to find out that Tobias Lindholm wrote (and directed) this film, having pennedThe Huntas well.There is rarely any emotion, little acting required and with almost four months at sea and very little food, the crew never seemed to lose weight at all. There were too many little annoying things like that that made this film very forgettable for me. And what an anti-climactic ending."
A Hijacking,lowest,"Idk if it’s studio meddling or just incompetency, but the editing here is awful. It feels like there is soooo much material missing. And it’s truly sad because the scenes, in itself, are all solid.Pilou Asbæk and Søren Malling are doing very well in their scenes. The camerawork and directing is okay. Nothing that stands out as good but nothing that stands out as bad either. The phone call between the cook and his wife was my fav part…"
A Hijacking,lowest,"An interesting idea, I guess, and probably a somewhat accurate representation of what these situations are really like—but in practice, this felt unnecessarily punishing and repetitive. Not that it's meant to be a feel-good film, but its relentless dourness felt undeserved.The portion taking place at the company offices was the biggest offender, with the CEO's stubborn bargaining scenes repeating themselves over and over, but the events on the boat weren't particularly eventful either. Realistic maybe, but for a fiction…"
A Hijacking,highest,Gonna do a bit more revision for my maritime security exam now methinks
A Hijacking,highest,Hadde vært så grovt å kunne somalsk til denne filmen
A Hijacking,highest,"Great film, this movie really shows on what the seamans cdo whenever they find themselves in a incident such as a hijacking by pirates. These film reminds me of the Captain Philips film."
A Hijacking,highest,Anything less than 5 stars feels unjustified.Extremely well done. I've watched some amazing Scandinavian films of late.Wouldn't want to be Mikkel at the end! Hope that wasn't a true anecdote from a real hijacking.
A Hijacking,highest,"A Danish ship is hijacked by Somalian pirates. A harrowing thriller shot with the intimacy of a documentary. The movie allows you to come up for air every now and again, but it’s a ruse. It doesn’t let up until its last dying frame. And the performances of all, are of the type that succeed in letting you forget they’re acting. This was exhausting."
A Hijacking,highest,"People from Scandinavian countries make cool movies. ie: Sweden's Let The Right One In. This atypical sea-bound hostage thriller is from Denmark. It's Captain Phillips but with more boardrooms and less Tom Hanks. The film cuts back and forth between the events on a hijacked ship and the hostage negotiation process back on land. The two main guys, the ship's cook and the head corporate dude, are great. Sounds mad boring, but is instead scary and tense."
A Hijacking,highest,A great representation on what and how the seamans will do and react whenever unexpected events such as a hijacking occurs. This film definitely reminds me of Captain Philips. Im glad that the ending was a good one
A Hijacking,highest,A stunning tense piece of cinema.
A Hijacking,highest,"This is a film about a cargo ship that is attacked by Somali pirates and the negotiations with the ship's company in Copenhagen. This film is heart wrenching and very suspenseful but what I think blew me away the most was how there is really no true antagonist. The filmmaker does such a great job at distributing empathy throughout the characters... As Renoir says in the French masterpiece, Rules of the Game (1939): ""The awful thing about life is this: Everybody has their reasons...."""
A Hijacking,highest,"Move over Captain Phillips, this is the pirate movie to watch"
A Hijacking,highest,"Harrowing but gripping tale focusing on the negotiations for the release of a hijacked container ship. The tension just ratchets up, you feel like you are in the room scared of how the hijackers will react. You can also feel the desparation of the hostages and the isolation they feel when they hear that their bosses won't just pay the money. You can see them slowly degrade and dehumanise as time goes on. An excellent film, all the better for ignoring the action of the hijacking itself and delving into the psychological torture of those on the ship and those back home."
A Hijacking,highest,"A suspenseful film about the hijacking of a cargo ship by Somali pirates. Unlike captain Phillips, this film focusses on the negotiation with the Danish CEO. Flipping between the boat and the office room where the negotiations are taking place, the film manages to be suspenseful in both locations with masterful acting. The drama which plays out feels very real, very bleak and very claustrophobic. Great cinema."
A Hijacking,highest,"The road to Denmark - the hidden gems⬅️I was completely on board from the beginning. A tragic and stressful race against time, with beautiful landscapes"
A Hijacking,highest,Wow. This is the pirate movie to watch
Loveless,lowest,I can’t believe that I wasted 2 hours of my life on this trash
Loveless,lowest,"It was beautifully shot and the acting was excellent, but the story and pacing were just dreadful. The second half during the searching felt like it went on forever."
Loveless,lowest,"смотрела его несколько лет назад. помню, физически подташнивало. жизнь в целом достаточно плоха бывает, необязательно об этом ТАК кричать."
Loveless,lowest,Hated every second of this tiring and pretentious film
Loveless,lowest,"Porra, muito lixo, vai se fuderPersonagens bosta, enredo bosta, enrolação fudida, não explica nada"
Loveless,lowest,"неее, это явно не моё - глубокомысленно созерцать два часа все ужасы человеческого бытия вшивого интеллигента-изобличителя. связующее звено ленты - пропавший паренёк - отвратительно плохо раскрыт, что заставляет усмехнуться мысли о том, что на него насрать не только родителям, но и Звягинцеву."
Loveless,lowest,"A fairly long while ago I read a brief collection of short stories by Shirley Jackson. I've been haunted by a couple of the stories it contained ever since, but the first one left a particularly indelible impression. It was The Missing Girl, wherein over just a handful of pages, Jackson describes the circumstances unfolding upon the discovery that a young teenage girl has disappeared from a campground, seemingly without trace. The succinct portrait Jackson paints of the mechanical way…"
Loveless,lowest,"Ai bicho, eu gostei de nada desse filme, personagens chatos, apáticos, não liguei pra trama em si, achei várias cenas desnecessárias e poderiam ser cortadas/diminuídas, com certeza, e toda essa tentativa de tornar as cenas mais naturais tornam elas entediantes. Oh Charlie onde fui nos meter.Alphabetical Challenge 12/26"
Loveless,lowest,"J’en suis au 2/3 du film c’est si peu intéressant, trop physiologique pour moi où tous ce que tu veux, même pas je termine.Des gens se sont donc tapéTheSquareetLovelessla même année à Cannes !"
Loveless,lowest,11:15am at Highland Park Renaissance
Loveless,lowest,если бы обезьяна сняла фильм это бы выглядело так
Loveless,lowest,فيلم غير مقنعه احداثه وبطيء جداًصرت مدري هم يمثلون غير مبالين ولا هم فعلاً غير مبالين بالتمثيلوالنهايه ناقصة وخايسة
Loveless,lowest,Shoutout Jack Caccavari because we both had to watch this piece of trash for class
Loveless,lowest,Didn't watch this but my bloody valentine SUCK!!!!!!!!!!!!!!!!!!
Loveless,highest,This is not a story about good and evil It is about parents who have never received love And therefore cannot give it to their child They repeat their mistakes over and over And do not learn from the tragedy The film does not provide a solution or comfort It deals with a harsh reality where love is absent
Loveless,highest,"This is a third time I've watched it and every time I am reassured that Zvyagintsev is total genious. Amazing movie, it drags you in from the very beginning with perfect acting and cinematography."
Loveless,highest,A suprise to no one. Russians make about as good parents as they do a functional Democracy
Loveless,highest,zivaginstevcigim benim psikolojimi bozdun bu filmle yeni film de yapmiyosun saka misin yaaaagg :(((((
Loveless,highest,"I am officially putting this as my second favorite film of all time. My rewatch hit, it hit hard. I’ve thought about this film ever since I watched it for the first time (years ago)."
Loveless,highest,Damn. Your kid running away must be a real bummer...
Loveless,highest,"I believe I was shown part of this in a seminar in 3rd year or something. Anyway, I should have trusted my gut; this is the most depressing film of all time and I hate it!"
Loveless,highest,"10 years after The banishment, this one cuts even deeper. It goes right under your skin.Another cinematic tour-de-force by Zvyagintsev. A dark jewel. Better than The banishment, in my opinion (and others).'Loveless' revolves around a young couple who lose not only each other but also their son in their marital struggle. When their 12-year-old son disappears, the couple is confronted with their own shortcomings.""Up until now, Russian filmmaker Andrej Zvyagintsev has only made good to excellent films,…"
Loveless,highest,"The story of Loveless is very captivating even though it's a patient slow-burn with a lot of long-takes, dialogue and a big emphasis on atmosphere. From the opening shot to the final shot it's a depressing experience with lots of unexpected turns, and it's a film that keeps you guessing and wondering even after the credits roll. It's one that sits with you and is on your mind for a long time after watching it.Our two lead actors, Maryana…"
Loveless,highest,"Кажется пересматривать ""Нелюбовь"" сразу после ""Похороните меня за плинтусом"" было плохой идеей, но я всё так же люблю этот фильм целиком и полностью."
Loveless,highest,De cuando las cosas solo importan cuando no están
Loveless,highest,i'll never forget how heartbreaking this was
Loveless,highest,Minik Alyoşaya sarılmak istiyorum….
Victoria,lowest,"det er et nei fra meg.synes den var så kjedelig, kunne ikke brydd meg mindre om plottet. ja kult at den er filmet på en tagning men det gjorde det ikke for meg, den ble ikke bra bare pga det. skjønte heller ikke poenget med filmen og mislikte alle karakterene inkludert hovedpersonen lol"
Victoria,lowest,"Apostaron todo a ser un solo shot y se enfocaron en eso nama, ni se interesaron en hacer algo lógico.A verrrrr se entiende que quiera causar muchas emociones al mismo tiempo sin dejar al espectador pensar lo que acaba de ver perooooo el inicio pudo ser otro, mezclado obv con el inicio que esta ahora asi un pequeño background de ella quizás, no sé horas antes de ir al club. Tiraron todo muy impulsivamente 🫠 like y eso diq llevarse un tipa a lo loco a ser tu complice jjjjjLo único que me gustó fue el final y fue porque se acabó"
Victoria,lowest,"i stayed until an hour and 19 mins. i can't finish it. not with the messy camera work (altho i get it, it kinda like a vlog), but i still can't. not with vic's attitude. vic was bored so she joined a group of men on a night. nah. i just couldn't get into the storyline. i forced myself to finish it, but at least i passed the first hour. just not for me."
Victoria,lowest,"mirando las reviews de la gente y yo estoy pensando si me he perdido algo? No me ha gustado nada no sé esque no le veo el sentido a la trama, ninguna mujer se iria con 3 tíos random por la noche esque en la vida macho jajajajaj wtff he ido dandole 5sec a cada rato porque vaya truño"
Victoria,lowest,"No importa que sea un plano secuencia, nada justifica la seguidilla de malas desiciones, como que le dieron 12 páginas de guión a los actores y hicieron que improvisen, ni que algunas transiciones entre tomas no están logradas, y por dios el conflicto aparece a la HORA DE PELICULA, y no te puedo creer que (según wikipedia) ganó un premio en Sitges, no te la puedo creer."
Victoria,lowest,Me lembrou uns rolês de final de semana
Victoria,lowest,"Uma ladainha interminável que não conseguiu me provocar nenhum sentimento além de tédio. Os personagens são 100% desinteressantes, nem uma hora inteira de ""desenvolvimento"" antes da apresentação do ""plot"" foi capaz de dar alguma profundidade a eles. A trilha sonora é horrível (raro exemplo de uma que realmente me incomodou), a fotografia parece feita pra gente não enxergar nada. É tudo muito, MUITO ruim. Queria fazer uma petição pro Letterboxed aceitar 0 estrela como avaliação."
Victoria,lowest,zorla goturuldugum konferans gecsin diye actim!! yarisini izleyebilfim cok sıkıcıydı uf
Victoria,lowest,So boring no shade. She’s also an idiot boots
Victoria,lowest,"""i can fix him,"" says woman who is worse"
Victoria,lowest,There is a reason they did this in one take: it’s too ducking terrible to shoot again. Please don’t waste 2 hours of your time.
Victoria,lowest,"i hated this movie. idk if i can get into dramas if they are all going to be so long. additionally, it did not make me thrilled to fly to berlin today."
Victoria,lowest,Worse than hitting your own mother…As if any sane person would be so naive to follow such pieces of shit that are drunken germans…The worst movie I’ve watched in this year so far
Victoria,highest,Undeniably thrilling. Germany never feels like a normal place. Bad boys are too fun to ignore so I get it.
Victoria,highest,Probably some of the best acting I’ve ever seen. All in one take too which is insane. Meandering a bit towards the end but I don’t freaking care this shit was incredible
Victoria,highest,"This was one of the first movies I watched when I decided to try this hobby to find out what was out there. I was absolutely mind blown that I didn’t even gave a review. This is the one movie, that hooked me in this world and turned me into a cinephile. Probably the only one review that I didn’t do since I started this activity continuously, for almost a year now, and one of the most meaningful movies for me, that deeply touched me and made me fall in love with cinema. Thanks Victoria"
Victoria,highest,"Protip : faites votre pause pipi avant de débuter le film. Ces 138 minutes en plein séquence se vivent d’un trait, sans interruption.(je l’ai appris de la manière difficile et il a fallu changer le canapé)"
Victoria,highest,"what an ending, man!Good for her? idk but I'm glad she was able to get away"
Victoria,highest,Ella solo quería tener una noche loca y ya😞
Victoria,highest,"The best german movie, it is not an understatemant. Because of this movie I had the dream of renaming myself Victoria. I saw it 2015 and can still not fathom how well it held up, how it depicts Berlin as this pseudo depressing realtiy, we all live through. How there is not one cut, sort of like Hideo Kojima was pocessing the director Schipper. Fantastic, chefs kiss! It is not talked about much in this cultural climate but we should all see Victoria."
Victoria,highest,"Every time I watch it I’m more blown away. This film has no contemporaries. Other one-takes either feel forced or have a scope too narrow to make the feat meaningful. Victoria, however, has an enormous scope that meets the moment at every turn.There’s no settling for mediocrity to achieve the goal. These actors give their all for the lengthy runtime and it ends up a true masterpiece that would be thoroughly enjoyable even if filmed traditionally.As we pass this films 10th birthday, I continue to hope it will finally get the mainstream recognition it deserves."
Victoria,highest,"Fuldstændig skørt god, har aldrig følt mig så meget en del af en film. Så sejt med one take, impro håndholdt kamera og fantastisk skuespil. Jeg følte at kameraet var mine øjne og mærkede alle deres følelser 👀🔥💫 måtte gemme mig under min dyne et par gange!! Fuck hvor var den god"
Victoria,highest,"Incroyable, je conseille fortement !!"
Victoria,highest,All in 1 shot. Why I haven't seen this earlier¿?I'd like to think that Victoria went on with her life just fineNils Frahm is god 🙏
Victoria,highest,The power of friendship did not prevail
Victoria,highest,"değerli bi öneriyle izlediğim bu film; birçok açıdan şaşırttı.Kamera açıları olsun, oyunculuklar olsun, hikaye akıp gidiyor. anksiyetesi çok yüksek bir insan olarak bazı sahnelerde kalbim patlayacak gibi hissettim-bu bana ekstra bir zevk verdi- hikaye,dostluk ve dramı da çok iyi işlerken içine gerilim de katıvermiş. Nadir beğenirim böyle filmleri.   film önerisi Soranlara söyleyeceğim ilk 5 filme girmiş bulunmaktadır.thx mukilove ya"
Victoria,highest,"Wow, that totally came out of left field. A really tense movie that just snowballs, the thing is beautiful and the soundtrack is excellent, but the acting is overwhelming. While the story is fiction, the people are as real as it gets."
Timecrimes,lowest,"Umgesetzt wie ein Hochschulprojekt. Das wäre ja ok wenn die Handlung originell wäre, aber wie so oft bei  Zeitreiseplots, wird hier einfach nur altes aufgewärmt. Dazu der Protagonist, soll man Sympathien haben mit dem?! Richtig miese Type, der hier als Opfer der Umstände inszeniert wird. Finger weg"
Timecrimes,lowest,Esta película me ha hecho odiar el cine durante una hora y media
Timecrimes,lowest,فيلم تافه وبضان وغبي.. تقريباً بيحاول يشرح أغنية مصطفى كامل لما قالأنا لسه مش عارفني.. أنا لسه مش لاقيني.. أنا عايش ولا لأ.. خلاص قلبي بدأ بيخاف من كل ايامي وسنيني.. ساعات بحس إني بموت من الخوف.. ساعات بحاول أتحملك يا ظروفساعات بشك فيا حتى من جوايا.. أسمع واشوف واحس بس عايش لالاااااالاحرفياً مش شيت ريڤيو.. حرفياً بجد
Timecrimes,lowest,Nah don’t fuck with this it all took me like allDamn day to watch this could not get on board w this plot 👎
Timecrimes,lowest,"Didn't like how the movie treated the unnamed female character. Weirdly sexist.Plot wise this is nothing unique, I've seen this kind of movie enough times to think I myself might be in a time loop. Didn't really offer anything new except for the, well, cum pool I guess."
Timecrimes,lowest,"the protagonist is a fat, slow, stupid creep."
Timecrimes,lowest,This is one of my least favorite portrayals of time travel - causal loops can be fun (where you only do something because you did it before) but the origin of that action should have some meaning to it or some relation to the character’s will - making the woman take off her clothes in the forest for no reason just because he’d seen it before felt like a poorly chosen and unnecessarily explicit way to demonstrate this. Also was…
Timecrimes,lowest,Stupidest male protagonist ever.
Timecrimes,lowest,"If one have watched a handful of time travel movies, they alomst would have known what is happening and what is about to. With it being made one and a hald decade before, it might have been riveting then but I feel that it didn't stand the test of the time."
Timecrimes,lowest,"This felt very male gaze-y and the storyline was very basic. I was not entertained at all, so there’s 1 star for you."
Timecrimes,lowest,"O suposto melhor trabalho do Nacho Vigalondo apenas confirma minhas impressões sobre ele como diretor com as obras posteriores com as quais tive contato durante os anos: seus filmes não existem para além da primeira imagem, nem possuem qualquer imaginação para partir para o entorno de suas ficcionalizações que tanto querem firmar um lugar pelo gênero fantástico. Ele teve um vislumbre de como seu personagem poderia se parecer, o que poderia enfrentar seguindo essa cartilha temática de ficção científica, como poderia erotizar o olhar do público com as atrizes, e esqueceu de como sustentar todo o resto depois dos primeiros trinta minutos."
Timecrimes,lowest,"I’ll be quick: this movie is dreadful. It tries to be smart, to be dark, to be somehow good, and it catastrophically fails at everything it does. It’s not surprising, it’s not intense, it’s not enjoyable at all. And worst of all: despite being 80 minutes long, it makes you sit through it as if it were a 4 hour long feature — behaving as if it were profound, moving awfully slow… and, let’s be honest, making you feel as if you wasted 240 minutes of your life when you haven’t even wasted 90.I still can’t believe how awful this movie was, really… *sigh*"
Timecrimes,lowest,"Idiot man defies darwinism, unfortunately."
Timecrimes,highest,"Aqui ele foi gigante, simplesmente uma aula! 😍"
Timecrimes,highest,Hector is the unemployed friend on a random Tuesday
Timecrimes,highest,Brilliant. Very good concept and very well done.
Timecrimes,highest,This is one of the most excellent and well-developed time travel stories ever to be put on screen. Shame the bike girl went through all that.
Timecrimes,highest,"Proof that you don't need a big budget or special effects to make compelling sci-fi. Simplicity in the setting works as the script, mood and performances are so tight and wonderfully engrossing. It's stressful, which is layered through the increasingly disastrous effects of how the film portrays it's time travel concepts. It's small in scope and it benefits massively from that restrained. The film aesthetic could of been very dark and hard to distinguish, but you can see everying from…"
Timecrimes,highest,... y entonces vi los cuásares fuaaah y los púlsares fuaaaaah...~ En casa con Isaak ~
